run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.99,1000,500,500,100,-63.606,63.606,1.0,41.442673206329346
1,0.99,1000,500,500,100,-67.66,67.66,0.998,42.307109117507935
2,0.99,1000,500,500,100,-65.296,65.296,0.998,40.13818335533142
3,0.99,1000,500,500,100,-69.802,69.802,0.994,34.48700499534607
4,0.99,1000,500,500,100,-69.218,69.218,0.998,33.3749635219574
5,0.99,1000,500,500,100,-67.33,67.33,0.996,53.13263463973999
6,0.99,1000,500,500,100,-62.706,62.706,1.0,29.53630304336548
7,0.99,1000,500,500,100,-66.768,66.768,0.996,50.61137771606445
8,0.99,1000,500,500,100,-65.004,65.004,0.998,44.36827802658081
9,0.99,1000,500,500,100,-66.526,66.526,1.0,50.21506118774414
