episode,reward,steps,time,reached_goal
0,-52.0,52,0.00046825408935546875,True
1,-77.0,77,0.0006515979766845703,True
2,-68.0,68,0.0005650520324707031,True
3,-42.0,42,0.0003752708435058594,True
4,-72.0,72,0.0005965232849121094,True
5,-68.0,68,0.0005731582641601562,True
6,-47.0,47,0.0004208087921142578,True
7,-57.0,57,0.0005443096160888672,True
8,-58.0,58,0.000492095947265625,True
9,-30.0,30,0.0002677440643310547,True
10,-58.0,58,0.0004780292510986328,True
11,-99.0,99,0.0008122920989990234,True
12,-53.0,53,0.0004420280456542969,True
13,-66.0,66,0.0005278587341308594,True
14,-42.0,42,0.00037217140197753906,True
15,-66.0,66,0.0005576610565185547,True
16,-53.0,53,0.00046896934509277344,True
17,-73.0,73,0.000591278076171875,True
18,-72.0,72,0.0005922317504882812,True
19,-53.0,53,0.0004506111145019531,True
20,-48.0,48,0.0004172325134277344,True
21,-85.0,85,0.0006897449493408203,True
22,-68.0,68,0.0005841255187988281,True
23,-41.0,41,0.00036454200744628906,True
24,-32.0,32,0.0003082752227783203,True
25,-58.0,58,0.0004894733428955078,True
26,-200.0,200,0.0016286373138427734,False
27,-43.0,43,0.0003635883331298828,True
28,-31.0,31,0.00027179718017578125,True
29,-58.0,58,0.00048828125,True
30,-41.0,41,0.0003421306610107422,True
31,-64.0,64,0.0005478858947753906,True
32,-41.0,41,0.00035119056701660156,True
33,-56.0,56,0.00046825408935546875,True
34,-49.0,49,0.0004184246063232422,True
35,-38.0,38,0.0003082752227783203,True
36,-146.0,146,0.001168966293334961,True
37,-76.0,76,0.0006077289581298828,True
38,-74.0,74,0.0006127357482910156,True
39,-63.0,63,0.0005054473876953125,True
40,-113.0,113,0.000896453857421875,True
41,-80.0,80,0.0006458759307861328,True
42,-57.0,57,0.0004546642303466797,True
43,-80.0,80,0.0006461143493652344,True
44,-62.0,62,0.0005490779876708984,True
45,-44.0,44,0.00036072731018066406,True
46,-59.0,59,0.0004737377166748047,True
47,-97.0,97,0.0007760524749755859,True
48,-31.0,31,0.00026726722717285156,True
49,-53.0,53,0.0004253387451171875,True
50,-92.0,92,0.0007488727569580078,True
