run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.99,10000,-1,-66.072,66.072,0.996,12.796948194503784
1,0.99,0.5,0.95,0.8,0.99,10000,-1,-80.182,80.182,0.988,12.713374376296997
2,0.99,0.5,0.95,0.8,0.99,10000,-1,-71.038,71.038,0.998,12.578373193740845
3,0.99,0.5,0.95,0.8,0.99,10000,-1,-64.846,64.846,1.0,12.683067321777344
4,0.99,0.5,0.95,0.8,0.99,10000,-1,-65.966,65.966,1.0,12.49278450012207
5,0.99,0.5,0.95,0.8,0.99,10000,-1,-69.972,69.972,0.996,12.733015537261963
6,0.99,0.5,0.95,0.8,0.99,10000,-1,-68.226,68.226,1.0,12.576927900314331
7,0.99,0.5,0.95,0.8,0.99,10000,-1,-65.764,65.764,0.998,12.71529221534729
8,0.99,0.5,0.95,0.8,0.99,10000,-1,-69.918,69.918,0.998,12.682222604751587
9,0.99,0.5,0.95,0.8,0.99,10000,-1,-68.966,68.966,1.0,12.619039058685303
