episode,reward,steps,time,reached_goal
0,-167.0,167,0.0013413429260253906,True
1,-62.0,62,0.0005204677581787109,True
2,-78.0,78,0.0006325244903564453,True
3,-64.0,64,0.0005259513854980469,True
4,-54.0,54,0.0004553794860839844,True
5,-58.0,58,0.0004761219024658203,True
6,-64.0,64,0.0005483627319335938,True
7,-120.0,120,0.0009481906890869141,True
8,-63.0,63,0.0005624294281005859,True
9,-34.0,34,0.0002918243408203125,True
10,-39.0,39,0.0003554821014404297,True
11,-90.0,90,0.0007288455963134766,True
12,-43.0,43,0.00035858154296875,True
13,-27.0,27,0.00025773048400878906,True
14,-84.0,84,0.0006935596466064453,True
15,-91.0,91,0.0007376670837402344,True
16,-61.0,61,0.0005068778991699219,True
17,-63.0,63,0.0005404949188232422,True
18,-54.0,54,0.0004570484161376953,True
19,-80.0,80,0.0006892681121826172,True
20,-55.0,55,0.00045371055603027344,True
21,-41.0,41,0.0003612041473388672,True
22,-42.0,42,0.00034928321838378906,True
23,-57.0,57,0.0004780292510986328,True
24,-30.0,30,0.00026535987854003906,True
25,-65.0,65,0.0005228519439697266,True
26,-58.0,58,0.0005269050598144531,True
27,-125.0,125,0.0009944438934326172,True
28,-40.0,40,0.0003483295440673828,True
29,-46.0,46,0.0003972053527832031,True
30,-62.0,62,0.0004980564117431641,True
31,-40.0,40,0.0003364086151123047,True
32,-83.0,83,0.0006482601165771484,True
33,-37.0,37,0.00030612945556640625,True
34,-48.0,48,0.0003829002380371094,True
35,-63.0,63,0.0004870891571044922,True
36,-63.0,63,0.00052642822265625,True
37,-73.0,73,0.0005810260772705078,True
38,-67.0,67,0.0005245208740234375,True
39,-97.0,97,0.0007572174072265625,True
40,-69.0,69,0.0005466938018798828,True
41,-61.0,61,0.0004930496215820312,True
42,-60.0,60,0.0004706382751464844,True
43,-36.0,36,0.0003070831298828125,True
44,-41.0,41,0.00032973289489746094,True
45,-51.0,51,0.00040149688720703125,True
46,-45.0,45,0.0003750324249267578,True
47,-50.0,50,0.00039958953857421875,True
48,-63.0,63,0.0005216598510742188,True
49,-41.0,41,0.0003387928009033203,True
50,-39.0,39,0.00031280517578125,True
51,-40.0,40,0.0003323554992675781,True
52,-41.0,41,0.0003342628479003906,True
53,-67.0,67,0.0005340576171875,True
54,-80.0,80,0.0006284713745117188,True
55,-53.0,53,0.00042510032653808594,True
56,-40.0,40,0.0003256797790527344,True
57,-90.0,90,0.0007140636444091797,True
58,-102.0,102,0.0007953643798828125,True
59,-95.0,95,0.0007402896881103516,True
60,-83.0,83,0.0006601810455322266,True
61,-67.0,67,0.000537872314453125,True
62,-118.0,118,0.0009014606475830078,True
63,-44.0,44,0.0004150867462158203,True
64,-35.0,35,0.0002987384796142578,True
65,-51.0,51,0.0004830360412597656,True
66,-82.0,82,0.0006422996520996094,True
67,-33.0,33,0.0002894401550292969,True
68,-62.0,62,0.00048804283142089844,True
69,-119.0,119,0.0009405612945556641,True
70,-83.0,83,0.0006709098815917969,True
71,-39.0,39,0.0003159046173095703,True
72,-47.0,47,0.00039124488830566406,True
73,-68.0,68,0.0005369186401367188,True
74,-86.0,86,0.00067138671875,True
75,-52.0,52,0.00041484832763671875,True
76,-103.0,103,0.0008091926574707031,True
77,-34.0,34,0.0002818107604980469,True
78,-54.0,54,0.00044083595275878906,True
79,-77.0,77,0.0006024837493896484,True
80,-59.0,59,0.0004904270172119141,True
81,-91.0,91,0.0007154941558837891,True
82,-41.0,41,0.000339508056640625,True
83,-45.0,45,0.0003616809844970703,True
84,-88.0,88,0.0007600784301757812,True
85,-40.0,40,0.00032401084899902344,True
86,-60.0,60,0.0004966259002685547,True
87,-69.0,69,0.0005450248718261719,True
88,-105.0,105,0.0008327960968017578,True
89,-76.0,76,0.0006368160247802734,True
90,-34.0,34,0.00028324127197265625,True
91,-59.0,59,0.0004899501800537109,True
92,-60.0,60,0.00048041343688964844,True
93,-50.0,50,0.00041747093200683594,True
94,-76.0,76,0.0005931854248046875,True
95,-28.0,28,0.000232696533203125,True
96,-98.0,98,0.0007662773132324219,True
97,-102.0,102,0.0007929801940917969,True
98,-39.0,39,0.0003173351287841797,True
99,-39.0,39,0.00032830238342285156,True
100,-64.0,64,0.0005009174346923828,True
101,-79.0,79,0.0006301403045654297,True
102,-39.0,39,0.0003170967102050781,True
103,-78.0,78,0.000614166259765625,True
104,-43.0,43,0.00034499168395996094,True
105,-64.0,64,0.0005190372467041016,True
106,-88.0,88,0.000743865966796875,True
