episode,reward,steps,time,reached_goal
0,-80.0,80,0.005045413970947266,True
1,-57.0,57,0.000743865966796875,True
2,-40.0,40,0.00047850608825683594,True
3,-36.0,36,0.0005321502685546875,True
4,-50.0,50,0.0004811286926269531,True
5,-88.0,88,0.0007519721984863281,True
6,-90.0,90,0.0007936954498291016,True
7,-63.0,63,0.0005655288696289062,True
8,-90.0,90,0.0007827281951904297,True
9,-59.0,59,0.0005426406860351562,True
10,-67.0,67,0.0005984306335449219,True
11,-64.0,64,0.0006234645843505859,True
12,-61.0,61,0.0005922317504882812,True
13,-42.0,42,0.0003809928894042969,True
14,-160.0,160,0.0013580322265625,True
15,-67.0,67,0.0006682872772216797,True
16,-48.0,48,0.00043201446533203125,True
17,-74.0,74,0.0006799697875976562,True
18,-70.0,70,0.0006182193756103516,True
19,-40.0,40,0.0003693103790283203,True
20,-73.0,73,0.0006284713745117188,True
21,-159.0,159,0.0013325214385986328,True
22,-63.0,63,0.0005433559417724609,True
23,-35.0,35,0.00030732154846191406,True
24,-66.0,66,0.0005676746368408203,True
25,-115.0,115,0.0009598731994628906,True
26,-43.0,43,0.0003867149353027344,True
27,-155.0,155,0.0013129711151123047,True
28,-88.0,88,0.0007555484771728516,True
29,-52.0,52,0.00046539306640625,True
30,-126.0,126,0.0011093616485595703,True
31,-59.0,59,0.0005209445953369141,True
32,-60.0,60,0.0005311965942382812,True
33,-77.0,77,0.0006668567657470703,True
34,-78.0,78,0.0006814002990722656,True
35,-69.0,69,0.0005950927734375,True
36,-25.0,25,0.00024008750915527344,True
37,-118.0,118,0.0010004043579101562,True
38,-65.0,65,0.0005667209625244141,True
39,-53.0,53,0.0004813671112060547,True
40,-38.0,38,0.00034427642822265625,True
41,-77.0,77,0.0006608963012695312,True
42,-78.0,78,0.0006513595581054688,True
43,-46.0,46,0.0003991127014160156,True
44,-57.0,57,0.0005545616149902344,True
45,-103.0,103,0.0009944438934326172,True
46,-51.0,51,0.0004611015319824219,True
47,-64.0,64,0.0005614757537841797,True
48,-59.0,59,0.0005314350128173828,True
49,-93.0,93,0.0008225440979003906,True
50,-57.0,57,0.000492095947265625,True
51,-62.0,62,0.0005438327789306641,True
52,-55.0,55,0.0004792213439941406,True
53,-62.0,62,0.0005290508270263672,True
54,-78.0,78,0.0006532669067382812,True
55,-32.0,32,0.00029659271240234375,True
56,-33.0,33,0.0002925395965576172,True
57,-40.0,40,0.0003490447998046875,True
58,-41.0,41,0.00037097930908203125,True
59,-75.0,75,0.0006289482116699219,True
60,-56.0,56,0.000522613525390625,True
61,-29.0,29,0.00026154518127441406,True
62,-52.0,52,0.0004553794860839844,True
63,-51.0,51,0.0004341602325439453,True
64,-83.0,83,0.0007207393646240234,True
65,-73.0,73,0.0007135868072509766,True
66,-55.0,55,0.00047898292541503906,True
67,-74.0,74,0.0006289482116699219,True
68,-43.0,43,0.0003714561462402344,True
69,-123.0,123,0.0010633468627929688,True
70,-94.0,94,0.0008180141448974609,True
71,-53.0,53,0.0004699230194091797,True
72,-61.0,61,0.0005238056182861328,True
73,-85.0,85,0.0007212162017822266,True
74,-88.0,88,0.0007355213165283203,True
75,-60.0,60,0.000514984130859375,True
76,-56.0,56,0.00047707557678222656,True
77,-130.0,130,0.0010900497436523438,True
78,-96.0,96,0.0008008480072021484,True
79,-58.0,58,0.0005006790161132812,True
80,-61.0,61,0.0005166530609130859,True
81,-83.0,83,0.00080108642578125,True
82,-104.0,104,0.0008761882781982422,True
83,-69.0,69,0.0005970001220703125,True
84,-72.0,72,0.0006010532379150391,True
85,-72.0,72,0.0006122589111328125,True
86,-88.0,88,0.0008008480072021484,True
87,-69.0,69,0.0005903244018554688,True
88,-47.0,47,0.00043320655822753906,True
89,-200.0,200,0.0016448497772216797,False
90,-58.0,58,0.0005035400390625,True
91,-68.0,68,0.0005884170532226562,True
92,-37.0,37,0.0003273487091064453,True
93,-50.0,50,0.00043129920959472656,True
94,-64.0,64,0.0005557537078857422,True
95,-39.0,39,0.00034308433532714844,True
96,-79.0,79,0.0006656646728515625,True
97,-58.0,58,0.0004870891571044922,True
98,-39.0,39,0.0003428459167480469,True
99,-77.0,77,0.0007410049438476562,True
100,-103.0,103,0.0008473396301269531,True
101,-43.0,43,0.00037860870361328125,True
102,-58.0,58,0.0004909038543701172,True
103,-78.0,78,0.0006666183471679688,True
104,-72.0,72,0.0006589889526367188,True
105,-85.0,85,0.0007171630859375,True
106,-96.0,96,0.0008053779602050781,True
107,-64.0,64,0.0005495548248291016,True
108,-41.0,41,0.0003542900085449219,True
109,-60.0,60,0.0005173683166503906,True
110,-86.0,86,0.0007140636444091797,True
111,-93.0,93,0.0007836818695068359,True
112,-35.0,35,0.00030994415283203125,True
113,-80.0,80,0.0006797313690185547,True
114,-75.0,75,0.0006377696990966797,True
115,-58.0,58,0.0004901885986328125,True
116,-76.0,76,0.0006468296051025391,True
117,-107.0,107,0.0010182857513427734,True
118,-39.0,39,0.0003521442413330078,True
119,-45.0,45,0.000408172607421875,True
120,-43.0,43,0.0003809928894042969,True
121,-57.0,57,0.0004975795745849609,True
122,-64.0,64,0.0005486011505126953,True
123,-87.0,87,0.0007672309875488281,True
124,-37.0,37,0.0003376007080078125,True
125,-84.0,84,0.0007128715515136719,True
126,-41.0,41,0.0003573894500732422,True
