run,gamma,num_trajectories,training_episodes,max_iters,patience,mean_reward,mean_steps,success_rate,training_time
0,0.5,10,500,500,100,-276.23,200.0,0.0,25.813327312469482
1,0.5,10,500,500,100,-360.974,200.0,0.0,27.324959993362427
2,0.5,10,500,500,100,-211.286,200.0,0.0,26.397443294525146
3,0.5,10,500,500,100,-374.24,200.0,0.0,25.185147047042847
4,0.5,10,500,500,100,-461.756,200.0,0.0,26.149792194366455
5,0.5,10,500,500,100,-266.924,200.0,0.0,26.495159149169922
6,0.5,10,500,500,100,-200.0,200.0,0.0,24.606576442718506
7,0.5,10,500,500,100,-374.24,200.0,0.0,26.0890154838562
8,0.5,10,500,500,100,-200.0,200.0,0.0,25.87038016319275
9,0.5,10,500,500,100,-481.556,200.0,0.0,25.22972083091736
