episode,reward,steps,time,reached_goal
0,-52.0,52,0.0005612373352050781,True
1,-83.0,83,0.0008051395416259766,True
2,-36.0,36,0.00043582916259765625,True
3,-38.0,38,0.0004146099090576172,True
4,-33.0,33,0.00042247772216796875,True
5,-64.0,64,0.0006291866302490234,True
6,-93.0,93,0.0009062290191650391,True
7,-76.0,76,0.0007927417755126953,True
8,-42.0,42,0.00046706199645996094,True
9,-170.0,170,0.0014917850494384766,True
10,-70.0,70,0.0007083415985107422,True
11,-45.0,45,0.0004858970642089844,True
12,-69.0,69,0.0006616115570068359,True
13,-33.0,33,0.0004096031188964844,True
14,-58.0,58,0.0005545616149902344,True
15,-57.0,57,0.0005774497985839844,True
16,-153.0,153,0.0013630390167236328,True
17,-40.0,40,0.0004112720489501953,True
18,-90.0,90,0.0008387565612792969,True
19,-111.0,111,0.0010139942169189453,True
20,-66.0,66,0.0006682872772216797,True
21,-146.0,146,0.0013158321380615234,True
22,-51.0,51,0.0005424022674560547,True
23,-77.0,77,0.0007135868072509766,True
24,-62.0,62,0.0006101131439208984,True
25,-61.0,61,0.0006303787231445312,True
26,-119.0,119,0.0010890960693359375,True
27,-84.0,84,0.0007913112640380859,True
28,-73.0,73,0.0007123947143554688,True
29,-145.0,145,0.0013005733489990234,True
30,-85.0,85,0.0008032321929931641,True
31,-48.0,48,0.0004911422729492188,True
32,-78.0,78,0.0007169246673583984,True
33,-103.0,103,0.0009946823120117188,True
34,-113.0,113,0.0010540485382080078,True
35,-61.0,61,0.0005795955657958984,True
36,-46.0,46,0.0004923343658447266,True
37,-60.0,60,0.0005862712860107422,True
38,-81.0,81,0.0007760524749755859,True
39,-109.0,109,0.0010192394256591797,True
40,-99.0,99,0.0009067058563232422,True
41,-194.0,194,0.001676797866821289,True
42,-64.0,64,0.0006449222564697266,True
43,-94.0,94,0.0008678436279296875,True
44,-35.0,35,0.00036454200744628906,True
45,-114.0,114,0.0010602474212646484,True
46,-52.0,52,0.0007061958312988281,True
47,-41.0,41,0.00044417381286621094,True
48,-142.0,142,0.001260519027709961,True
49,-70.0,70,0.0006968975067138672,True
50,-85.0,85,0.0008115768432617188,True
51,-93.0,93,0.0008411407470703125,True
52,-112.0,112,0.0010194778442382812,True
53,-60.0,60,0.0005779266357421875,True
54,-48.0,48,0.0005083084106445312,True
55,-85.0,85,0.0007946491241455078,True
56,-115.0,115,0.001039743423461914,True
57,-74.0,74,0.0006854534149169922,True
58,-108.0,108,0.0010693073272705078,True
59,-92.0,92,0.0008623600006103516,True
60,-56.0,56,0.0005407333374023438,True
61,-81.0,81,0.0007731914520263672,True
62,-81.0,81,0.0007932186126708984,True
63,-65.0,65,0.0006549358367919922,True
64,-50.0,50,0.0005033016204833984,True
65,-67.0,67,0.0006554126739501953,True
66,-110.0,110,0.0009975433349609375,True
67,-44.0,44,0.0004477500915527344,True
68,-63.0,63,0.0005946159362792969,True
69,-62.0,62,0.0006196498870849609,True
70,-52.0,52,0.0005085468292236328,True
71,-72.0,72,0.0006725788116455078,True
72,-133.0,133,0.0012464523315429688,True
73,-43.0,43,0.000438690185546875,True
74,-21.0,21,0.0002601146697998047,True
75,-74.0,74,0.0007169246673583984,True
76,-56.0,56,0.0005726814270019531,True
77,-74.0,74,0.0007371902465820312,True
78,-62.0,62,0.0005955696105957031,True
79,-58.0,58,0.0006000995635986328,True
80,-154.0,154,0.0013620853424072266,True
81,-99.0,99,0.0009074211120605469,True
82,-81.0,81,0.0007662773132324219,True
83,-51.0,51,0.0005376338958740234,True
84,-60.0,60,0.0005724430084228516,True
85,-52.0,52,0.0005385875701904297,True
86,-103.0,103,0.0009446144104003906,True
87,-63.0,63,0.0006771087646484375,True
88,-88.0,88,0.0008332729339599609,True
89,-68.0,68,0.0006322860717773438,True
90,-66.0,66,0.0006489753723144531,True
91,-63.0,63,0.0006511211395263672,True
92,-43.0,43,0.000446319580078125,True
93,-112.0,112,0.0010344982147216797,True
94,-72.0,72,0.0006914138793945312,True
95,-120.0,120,0.0010859966278076172,True
96,-93.0,93,0.0008594989776611328,True
97,-29.0,29,0.00035452842712402344,True
