run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-80.686,80.686,0.988,1.8062355518341064
1,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-82.62,82.62,0.988,1.8534150123596191
2,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-88.246,88.246,0.974,1.826003074645996
3,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-88.872,88.872,0.974,1.8435585498809814
4,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-96.87,96.87,0.936,1.879850149154663
5,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-81.638,81.638,0.988,1.7636239528656006
6,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-94.722,94.722,0.97,1.778214454650879
7,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-105.5,105.5,0.938,1.7765283584594727
8,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-106.724,106.724,0.902,1.8298447132110596
9,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-106.184,106.184,0.902,1.8445963859558105
10,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-84.786,84.786,0.99,1.8035399913787842
11,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-93.656,93.656,0.964,1.782543420791626
12,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-104.236,104.236,0.918,1.854619026184082
13,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-97.926,97.926,0.946,1.8353943824768066
14,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-80.478,80.478,0.988,1.8065128326416016
15,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-98.758,98.758,0.926,1.827803611755371
16,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-93.696,93.696,0.966,1.8058390617370605
17,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-94.35,94.35,0.95,1.8099465370178223
18,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-91.246,91.246,0.966,1.8070509433746338
19,0.5,0.8,0.9,0.95,0.99,1000,-1.0,-86.938,86.938,0.976,1.8411972522735596
