run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-173.074,70.312,0.998,12.652202844619751
1,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-158.19,70.278,0.996,12.529947996139526
2,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-183.678,70.422,0.998,12.442490339279175
3,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-168.774,68.388,1.0,12.710883617401123
4,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-160.262,70.172,1.0,12.499847412109375
5,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-170.338,71.338,0.996,12.486733198165894
6,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-164.928,68.7,1.0,12.650463819503784
7,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-157.786,72.25,0.996,12.503958225250244
8,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-172.058,69.494,1.0,12.581049680709839
9,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-163.464,65.652,1.0,12.905081987380981
10,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-172.224,69.858,0.998,12.731863021850586
11,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-170.454,67.098,1.0,12.41209888458252
12,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-179.658,75.708,0.994,12.462122201919556
13,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-219.716,74.186,0.998,12.36129879951477
14,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-220.84,67.372,1.0,12.254996299743652
15,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-176.764,71.032,0.996,12.523981094360352
16,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-158.752,65.692,1.0,12.742989301681519
17,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-158.312,64.262,1.0,12.63745641708374
18,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-178.962,68.478,0.998,12.455838680267334
19,0.99,0.5,0.95,0.8,0.99,10000,-50.0,-158.63,66.362,0.998,12.607089519500732
