episode,reward,steps,time,reached_goal
0,-133.0,133,0.0011620521545410156,True
1,-28.0,28,0.00029659271240234375,True
2,-121.0,121,0.001028299331665039,True
3,-80.0,80,0.0007255077362060547,True
4,-128.0,128,0.001241445541381836,True
5,-101.0,101,0.0008840560913085938,True
6,-95.0,95,0.0008227825164794922,True
7,-53.0,53,0.0004982948303222656,True
8,-65.0,65,0.0005733966827392578,True
9,-96.0,96,0.0008635520935058594,True
10,-117.0,117,0.0010917186737060547,True
11,-81.0,81,0.0006940364837646484,True
12,-86.0,86,0.0007462501525878906,True
13,-92.0,92,0.0008046627044677734,True
14,-53.0,53,0.00048065185546875,True
15,-102.0,102,0.0008931159973144531,True
16,-58.0,58,0.0005571842193603516,True
17,-104.0,104,0.0008962154388427734,True
18,-161.0,161,0.0013203620910644531,True
19,-102.0,102,0.0008716583251953125,True
20,-69.0,69,0.0006191730499267578,True
21,-182.0,182,0.0015230178833007812,True
22,-47.0,47,0.0004439353942871094,True
23,-199.0,199,0.0016226768493652344,True
24,-89.0,89,0.0007460117340087891,True
25,-140.0,140,0.0011777877807617188,True
26,-86.0,86,0.0007271766662597656,True
27,-146.0,146,0.0011987686157226562,True
28,-134.0,134,0.0011053085327148438,True
29,-49.0,49,0.0004782676696777344,True
30,-126.0,126,0.001119852066040039,True
31,-66.0,66,0.0005807876586914062,True
32,-133.0,133,0.0011000633239746094,True
33,-200.0,200,0.0016889572143554688,False
34,-114.0,114,0.0009770393371582031,True
35,-154.0,154,0.0012869834899902344,True
36,-200.0,200,0.001653432846069336,False
37,-94.0,94,0.0008225440979003906,True
38,-113.0,113,0.0009632110595703125,True
39,-102.0,102,0.0009291172027587891,True
40,-159.0,159,0.0013098716735839844,True
41,-60.0,60,0.0005490779876708984,True
42,-200.0,200,0.0016977787017822266,False
43,-70.0,70,0.0006165504455566406,True
44,-94.0,94,0.0008177757263183594,True
45,-200.0,200,0.0016400814056396484,False
46,-63.0,63,0.0005540847778320312,True
47,-50.0,50,0.00048065185546875,True
48,-71.0,71,0.0006358623504638672,True
49,-131.0,131,0.0010972023010253906,True
50,-147.0,147,0.0012898445129394531,True
51,-93.0,93,0.0008080005645751953,True
52,-78.0,78,0.0006899833679199219,True
53,-103.0,103,0.0009100437164306641,True
54,-75.0,75,0.0006544589996337891,True
55,-117.0,117,0.0010025501251220703,True
56,-189.0,189,0.0015587806701660156,True
57,-58.0,58,0.0005314350128173828,True
58,-122.0,122,0.0010383129119873047,True
59,-76.0,76,0.0006449222564697266,True
60,-41.0,41,0.0004017353057861328,True
61,-145.0,145,0.0012066364288330078,True
62,-69.0,69,0.000614166259765625,True
63,-108.0,108,0.001012563705444336,True
64,-70.0,70,0.0006031990051269531,True
65,-86.0,86,0.0007507801055908203,True
66,-48.0,48,0.0004563331604003906,True
67,-75.0,75,0.0006711483001708984,True
68,-55.0,55,0.0005125999450683594,True
69,-94.0,94,0.0008242130279541016,True
70,-127.0,127,0.0010738372802734375,True
71,-200.0,200,0.0016303062438964844,False
72,-112.0,112,0.0009169578552246094,True
73,-113.0,113,0.0009558200836181641,True
74,-96.0,96,0.0008118152618408203,True
75,-122.0,122,0.0011217594146728516,True
76,-163.0,163,0.0013766288757324219,True
77,-200.0,200,0.0017457008361816406,False
78,-103.0,103,0.0009083747863769531,True
79,-75.0,75,0.0006513595581054688,True
80,-64.0,64,0.000579833984375,True
81,-79.0,79,0.0007047653198242188,True
82,-137.0,137,0.0011382102966308594,True
83,-65.0,65,0.0005671977996826172,True
84,-79.0,79,0.0006916522979736328,True
85,-90.0,90,0.0007953643798828125,True
86,-76.0,76,0.0006833076477050781,True
87,-91.0,91,0.0008711814880371094,True
88,-100.0,100,0.0008614063262939453,True
89,-88.0,88,0.0007424354553222656,True
90,-153.0,153,0.0013320446014404297,True
91,-116.0,116,0.0009927749633789062,True
92,-154.0,154,0.0012731552124023438,True
93,-88.0,88,0.0007596015930175781,True
94,-81.0,81,0.0007040500640869141,True
95,-37.0,37,0.00034356117248535156,True
96,-157.0,157,0.0013000965118408203,True
97,-65.0,65,0.000579833984375,True
98,-64.0,64,0.0005681514739990234,True
99,-85.0,85,0.0007889270782470703,True
100,-99.0,99,0.0008718967437744141,True
101,-93.0,93,0.0008106231689453125,True
102,-97.0,97,0.0008661746978759766,True
103,-114.0,114,0.000982522964477539,True
104,-124.0,124,0.0010542869567871094,True
105,-47.0,47,0.0004470348358154297,True
106,-200.0,200,0.0016257762908935547,False
107,-112.0,112,0.0009396076202392578,True
108,-95.0,95,0.0008296966552734375,True
109,-113.0,113,0.0009627342224121094,True
110,-74.0,74,0.0006673336029052734,True
111,-200.0,200,0.0017261505126953125,False
112,-157.0,157,0.0013165473937988281,True
113,-81.0,81,0.0007565021514892578,True
114,-55.0,55,0.0005028247833251953,True
115,-63.0,63,0.0005786418914794922,True
116,-150.0,150,0.0012352466583251953,True
117,-109.0,109,0.0009293556213378906,True
118,-63.0,63,0.0005660057067871094,True
119,-99.0,99,0.0008580684661865234,True
120,-122.0,122,0.0010323524475097656,True
121,-83.0,83,0.0007195472717285156,True
122,-153.0,153,0.0013267993927001953,True
123,-129.0,129,0.001096487045288086,True
124,-60.0,60,0.0005490779876708984,True
125,-66.0,66,0.0005819797515869141,True
126,-58.0,58,0.0005431175231933594,True
127,-200.0,200,0.0016529560089111328,False
128,-115.0,115,0.0009696483612060547,True
129,-94.0,94,0.0007891654968261719,True
130,-83.0,83,0.0007183551788330078,True
131,-200.0,200,0.001645803451538086,False
132,-77.0,77,0.0006754398345947266,True
133,-82.0,82,0.0007066726684570312,True
134,-70.0,70,0.0006847381591796875,True
135,-54.0,54,0.0005028247833251953,True
136,-84.0,84,0.0007176399230957031,True
137,-105.0,105,0.0008907318115234375,True
138,-110.0,110,0.0009706020355224609,True
139,-198.0,198,0.0016529560089111328,True
140,-117.0,117,0.0009915828704833984,True
141,-75.0,75,0.0006656646728515625,True
142,-109.0,109,0.0009365081787109375,True
143,-68.0,68,0.0005984306335449219,True
144,-148.0,148,0.0012514591217041016,True
145,-99.0,99,0.0008535385131835938,True
146,-52.0,52,0.0006406307220458984,True
147,-137.0,137,0.0011446475982666016,True
148,-71.0,71,0.0010824203491210938,True
149,-33.0,33,0.00032210350036621094,True
150,-86.0,86,0.0007154941558837891,True
151,-105.0,105,0.0008606910705566406,True
152,-61.0,61,0.0005154609680175781,True
153,-159.0,159,0.0015118122100830078,True
154,-74.0,74,0.0006334781646728516,True
155,-45.0,45,0.0004093647003173828,True
156,-200.0,200,0.0015711784362792969,False
157,-200.0,200,0.0019316673278808594,False
158,-146.0,146,0.0011582374572753906,True
159,-200.0,200,0.0016276836395263672,True
160,-77.0,77,0.0012359619140625,True
161,-200.0,200,0.0015769004821777344,False
162,-80.0,80,0.0006721019744873047,True
163,-129.0,129,0.0010535717010498047,True
164,-189.0,189,0.001489877700805664,True
165,-88.0,88,0.0007326602935791016,True
166,-50.0,50,0.0007648468017578125,True
167,-74.0,74,0.0006935596466064453,True
168,-91.0,91,0.0007677078247070312,True
169,-95.0,95,0.0007710456848144531,True
170,-91.0,91,0.0015189647674560547,True
171,-136.0,136,0.001127481460571289,True
